Date:                  	Tue Apr 07 12:03:43 ADT 2026
Spectrometer:          	USB4F05747
Lamp SN:               	Lamp Intensity Preview
Integration Time (sec):	6.929000E-2
Scans to average:      	5
Boxcar width:          	1
Integrating sphere	

Wavelength           	 [uJoule/count]           
232.70150417391784   	 0.0                      
232.91683426218654   	 0.0                      
233.13215507807905   	 0.0                      
233.34746661883233   	 0.0                      
233.56276888168338   	 0.0                      
233.77806186386925   	 0.0                      
233.99334556262679   	 0.0                      
234.20861997519307   	 0.0                      
234.42388509880502   	 0.0                      
234.63914093069965   	 0.0                      
234.8543874681139    	 0.0                      
235.06962470828483   	 0.0                      
235.28485264844937   	 0.0                      
235.50007128584448   	 0.0                      
235.71528061770718   	 0.0                      
235.93048064127444   	 0.0                      
236.1456713537832    	 0.0                      
236.36085275247046   	 0.0                      
236.57602483457325   	 0.0                      
236.7911875973285    	 0.0                      
237.0063410379732    	 0.0                      
237.2214851537443    	 0.0                      
237.43661994187886   	 0.0                      
237.6517453996138    	 0.0                      
237.86686152418608   	 0.0                      
